AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Premis Desc,Weapon Desc,Status Desc,LOCATION,Cross Street,Month
Central,BATTERY - SIMPLE ASSAULT,40.0,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600 S  LOS ANGELES                  ST,,03
Central,BATTERY - SIMPLE ASSAULT,52.0,F,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1ST,SPRING,03
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",62.0,M,STREET,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,600    WALL                         ST,,03
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,M,STREET,,Adult Arrest,7TH,FIGUEROA,03
Central,BATTERY - SIMPLE ASSAULT,39.0,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7TH                          ST,BROADWAY,03
Central,ATTEMPTED ROBBERY,50.0,M,SIDEWALK,FOLDING KNIFE,Invest Cont,SAN PEDRO                    ST,7TH                          ST,03
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,54.0,M,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",VERBAL THREAT,Invest Cont,600 W  5TH                          ST,,03
Central,BRANDISH WEAPON,76.0,M,OTHER PREMISE,OTHER KNIFE,Invest Cont,500 S  SAN PEDRO                    ST,,03
Central,BATTERY - SIMPLE ASSAULT,16.0,F,OTHER STORE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600 W  9TH                          ST,,03
Central,INTIMATE PARTNER - SIMPLE ASSAULT,21.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700 S  SAN PEDRO                    ST,,03
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),22.0,M,SIDEWALK,,Adult Arrest,6TH                          ST,SANTA FE                     AV,03
Central,BATTERY - SIMPLE ASSAULT,57.0,F,HOTEL,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,5TH                          ST,SAN JULIAN,03
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),18.0,F,PAWN SHOP,,Invest Cont,300 E  7TH                          ST,,03
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34.0,M,RESTAURANT/FAST FOOD,MACE/PEPPER SPRAY,Adult Arrest,400 S  MAIN                         ST,,03
