,Date Rptd,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status Desc,LOCATION,Cross Street
2487,5/7/2010 0:00,Central,BURGLARY FROM VEHICLE,25,F,H,STREET,,Invest Cont,1000    MARVIEW                      AV,
2488,5/7/2010 0:00,Central,INTIMATE PARTNER - SIMPLE ASSAULT,21,F,B,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,300 W  2ND                          ST,
2489,5/7/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),49,F,B,BUS STOP,,Invest Cont,5TH,WALL                         ST
2490,5/7/2010 0:00,Central,DOCUMENT FORGERY / STOLEN FELONY,44,M,H,BANK,,Invest Cont,100 S  FIGUEROA                     ST,
2491,5/7/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),17,M,H,OTHER PREMISE,,Invest Cont,300 E  5TH                          ST,
2492,5/7/2010 0:00,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,9,M,H,POLICE FACILITY,VERBAL THREAT,Invest Cont,200 E  6TH                          ST,
2493,5/7/2010 0:00,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,9,M,H,POLICE FACILITY,VERBAL THREAT,Invest Cont,200 E  6TH                          ST,
2494,5/7/2010 0:00,Central,BURGLARY FROM VEHICLE,37,M,H,STREET,,Invest Cont,800 S  BROADWAY,
2495,5/7/2010 0:00,Central,ATTEMPTED ROBBERY,9,M,H,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,1100 S  LOS ANGELES                  ST,
2496,5/7/2010 0:00,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",39,M,H,SIDEWALK,,Invest Cont,200 S  GRAND                        AV,
2497,5/8/2010 0:00,Central,VEHICLE - STOLEN,0,,,STREET,,Invest Cont,500    MOLINO                       ST,
2498,5/8/2010 0:00,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,PARKING LOT,,Invest Cont,600 N  HILL                         ST,
2499,5/8/2010 0:00,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,24,F,H,SIDEWALK,VERBAL THREAT,Invest Cont,600    SAN JULIAN                   ST,
2500,5/7/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,53,M,B,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1000 N  ALAMEDA                      ST,
